"Word"	"Frequency"
"anchovies"	1
"ancient"	16
"and"	12408
"andalusia"	1
"andean"	1
"anderman"	2
"anderson"	46
"andover"	3
"andr"	11
"andre"	7
"andrea"	6
"andrej"	1
"andres"	1
"andrew"	18
"andrews"	3
"androgynous"	1
"andruw"	2
"ands"	1
"andy"	3
"anecdotal"	2
"anecdote"	1
"anesthesiologist"	1
"anew"	4
"angel"	3
"angela"	5
"angeles"	78
"angelo"	3
"angels"	11
"anger"	8
"angered"	3
"angering"	1
"anglais"	1
"angle"	3
"angles"	1
"anglicans"	1
"anglo"	3
"angola"	3
"angrier"	1
"angrily"	3
"angry"	14
"angst"	2
"anguish"	2
"anguished"	2
"angular"	1
"angus"	1
"anheuser"	1
"anhingas"	2
"animal"	22
"animals"	18
"animated"	4
"animation"	4
"animators"	1
"animatronic"	1
"animus"	2
"anisimova"	2
"anita"	3
"ankle"	14
"ankles"	2
"ann"	13
"annalynne"	1
"annapolis"	2
"anne"	4
"annette"	2
"annexed"	1
"annihilated"	1
"anniversary"	10
"annotating"	1
"announce"	8
"announced"	71
"announcement"	12
"announcements"	7
"announcer"	1
"announces"	2
"announcing"	3
"annoyed"	1
"annoys"	1
"annual"	26
"annualized"	4
"annually"	8
"annul"	2
"anointed"	2
"anointing"	1
"anomaly"	2
"anonymity"	8
"anonymous"	7
"anonymously"	7
"another"	295
"anquan"	1
"ansel"	1
"anselm"	1
"ansgar"	1
"ansin"	1
"answer"	55
"answered"	14
